Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2005,16,ACU,1104,27
2005,16,ACU,1112,13
2005,16,ACU,1130,31
2005,16,ACU,1150,40
2005,16,ACU,1153,14
2005,16,ACU,1163,2
2005,16,ACU,1181,1
2005,16,ACU,1196,20
2005,16,ACU,1203,39
2005,16,ACU,1210,15
2005,16,ACU,1228,11
2005,16,ACU,1234,64
2005,16,ACU,1235,67
2005,16,ACU,1242,10
2005,16,ACU,1246,3
2005,16,ACU,1257,17
2005,16,ACU,1261,48
2005,16,ACU,1277,37
2005,16,ACU,1278,96
2005,16,ACU,1280,7
2005,16,ACU,1301,19
2005,16,ACU,1305,21
2005,16,ACU,1307,91
2005,16,ACU,1314,26
2005,16,ACU,1328,38
2005,16,ACU,1329,5
2005,16,ACU,1338,6
2005,16,ACU,1390,8
2005,16,ACU,1393,25
2005,16,ACU,1400,12
2005,16,ACU,1403,28
2005,16,ACU,1412,32
2005,16,ACU,1417,81
2005,16,ACU,1428,43
2005,16,ACU,1431,54
2005,16,ACU,1437,53
2005,16,ACU,1448,18
2005,16,ACU,1449,50
2005,16,ACU,1452,72
2005,16,ACU,1458,9
2005,16,AP,1104,18
2005,16,AP,1112,10
2005,16,AP,1163,8
2005,16,AP,1181,11
2005,16,AP,1196,23
2005,16,AP,1210,3
2005,16,AP,1211,25
2005,16,AP,1228,6
2005,16,AP,1242,1
2005,16,AP,1246,9
2005,16,AP,1257,14
2005,16,AP,1277,13
2005,16,AP,1280,12
2005,16,AP,1301,19
2005,16,AP,1314,4
2005,16,AP,1329,7
2005,16,AP,1338,17
2005,16,AP,1393,5
2005,16,AP,1400,16
2005,16,AP,1448,2
2005,16,AP,1449,22
2005,16,AP,1458,21
2005,16,ENT,1104,33
2005,16,ENT,1105,301
2005,16,ENT,1112,45
2005,16,ENT,1130,31
2005,16,ENT,1137,231
2005,16,ENT,1150,34
2005,16,ENT,1151,126
2005,16,ENT,1153,13
2005,16,ENT,1163,3
2005,16,ENT,1166,72
2005,16,ENT,1175,269
2005,16,ENT,1181,1
2005,16,ENT,1184,230
2005,16,ENT,1192,246
2005,16,ENT,1196,29
2005,16,ENT,1203,57
2005,16,ENT,1210,7
2005,16,ENT,1211,5
2005,16,ENT,1228,17
2005,16,ENT,1234,67
2005,16,ENT,1235,51
2005,16,ENT,1242,19
2005,16,ENT,1246,10
2005,16,ENT,1257,18
2005,16,ENT,1261,59
2005,16,ENT,1277,44
2005,16,ENT,1278,134
2005,16,ENT,1280,14
2005,16,ENT,1285,242
2005,16,ENT,1301,11
2005,16,ENT,1305,22
2005,16,ENT,1307,112
2005,16,ENT,1310,97
2005,16,ENT,1314,12
2005,16,ENT,1320,81
2005,16,ENT,1324,179
2005,16,ENT,1325,207
2005,16,ENT,1328,50
2005,16,ENT,1329,4
2005,16,ENT,1330,99
2005,16,ENT,1334,71
2005,16,ENT,1335,102
2005,16,ENT,1338,6
2005,16,ENT,1356,36
2005,16,ENT,1368,187
2005,16,ENT,1388,55
2005,16,ENT,1390,9
2005,16,ENT,1393,27
2005,16,ENT,1400,16
2005,16,ENT,1403,24
2005,16,ENT,1412,41
2005,16,ENT,1416,93
2005,16,ENT,1417,130
2005,16,ENT,1418,82
2005,16,ENT,1428,39
2005,16,ENT,1429,43
2005,16,ENT,1431,40
2005,16,ENT,1436,151
2005,16,ENT,1437,60
2005,16,ENT,1448,15
2005,16,ENT,1449,62
2005,16,ENT,1452,79
2005,16,ENT,1454,76
2005,16,ENT,1457,241
2005,16,ENT,1458,8
2005,16,MOR,1104,18
2005,16,MOR,1105,306
2005,16,MOR,1112,27
2005,16,MOR,1130,19
2005,16,MOR,1137,205
2005,16,MOR,1150,33
